
1468006400 bytes (1.5 GB, 1.4 GiB) copied, 151 s, 9.7 MB/s
1476395008 bytes (1.5 GB, 1.4 GiB) copied, 152 s, 9.7 MB/s
1484783616 bytes (1.5 GB, 1.4 GiB) copied, 153 s, 9.7 MB/s
1493172224 bytes (1.5 GB, 1.4 GiB) copied, 154 s, 9.7 MB/s
1501560832 bytes (1.5 GB, 1.4 GiB) copied, 154 s, 9.7 MB/s
1509949440 bytes (1.5 GB, 1.4 GiB) copied, 155 s, 9.7 MB/s
1518338048 bytes (1.5 GB, 1.4 GiB) copied, 156 s, 9.7 MB/s
1535115264 bytes (1.5 GB, 1.4 GiB) copied, 157 s, 9.8 MB/s
1551892480 bytes (1.6 GB, 1.4 GiB) copied, 159 s, 9.8 MB/s
1560281088 bytes (1.6 GB, 1.5 GiB) copied, 159 s, 9.8 MB/s
1568669696 bytes (1.6 GB, 1.5 GiB) copied, 160 s, 9.8 MB/s
1577058304 bytes (1.6 GB, 1.5 GiB) copied, 161 s, 9.8 MB/s
1593835520 bytes (1.6 GB, 1.5 GiB) copied, 163 s, 9.8 MB/s
1602224128 bytes (1.6 GB, 1.5 GiB) copied, 164 s, 9.8 MB/s
1610612736 bytes (1.6 GB, 1.5 GiB) copied, 165 s, 9.8 MB/s
1619001344 bytes (1.6 GB, 1.5 GiB) copied, 165 s, 9.8 MB/s
1627389952 bytes (1.6 GB, 1.5 GiB) copied, 166 s, 9.8 MB/s
1635778560 bytes (1.6 GB, 1.5 GiB) copied, 167 s, 9.8 MB/s
1652555776 bytes (1.7 GB, 1.5 GiB) copied, 169 s, 9.8 MB/s
1660944384 bytes (1.7 GB, 1.5 GiB) copied, 170 s, 9.8 MB/s
1669332992 bytes (1.7 GB, 1.6 GiB) copied, 171 s, 9.8 MB/s
1677721600 bytes (1.7 GB, 1.6 GiB) copied, 171 s, 9.8 MB/s
1686110208 bytes (1.7 GB, 1.6 GiB) copied, 172 s, 9.8 MB/s
1694498816 bytes (1.7 GB, 1.6 GiB) copied, 173 s, 9.8 MB/s
1702887424 bytes (1.7 GB, 1.6 GiB) copied, 174 s, 9.8 MB/s
1719664640 bytes (1.7 GB, 1.6 GiB) copied, 176 s, 9.8 MB/s
1728053248 bytes (1.7 GB, 1.6 GiB) copied, 177 s, 9.8 MB/s
1736441856 bytes (1.7 GB, 1.6 GiB) copied, 177 s, 9.8 MB/s
1744830464 bytes (1.7 GB, 1.6 GiB) copied, 178 s, 9.8 MB/s
1753219072 bytes (1.8 GB, 1.6 GiB) copied, 179 s, 9.8 MB/s
1761607680 bytes (1.8 GB, 1.6 GiB) copied, 180 s, 9.8 MB/s
1778384896 bytes (1.8 GB, 1.7 GiB) copied, 181 s, 9.8 MB/s
1795162112 bytes (1.8 GB, 1.7 GiB) copied, 183 s, 9.8 MB/s
1803550720 bytes (1.8 GB, 1.7 GiB) copied, 183 s, 9.8 MB/s
1820327936 bytes (1.8 GB, 1.7 GiB) copied, 184 s, 9.9 MB/s
1845493760 bytes (1.8 GB, 1.7 GiB) copied, 186 s, 9.9 MB/s
1853882368 bytes (1.9 GB, 1.7 GiB) copied, 186 s, 10.0 MB/s
1870659584 bytes (1.9 GB, 1.7 GiB) copied, 187 s, 10.0 MB/s
1887436800 bytes (1.9 GB, 1.8 GiB) copied, 188 s, 10.0 MB/s
1904214016 bytes (1.9 GB, 1.8 GiB) copied, 189 s, 10.1 MB/s
1920991232 bytes (1.9 GB, 1.8 GiB) copied, 190 s, 10.1 MB/s
1937768448 bytes (1.9 GB, 1.8 GiB) copied, 191 s, 10.1 MB/s
1954545664 bytes (2.0 GB, 1.8 GiB) copied, 192 s, 10.2 MB/s
1971322880 bytes (2.0 GB, 1.8 GiB) copied, 193 s, 10.2 MB/s
1988100096 bytes (2.0 GB, 1.9 GiB) copied, 195 s, 10.2 MB/s
1996488704 bytes (2.0 GB, 1.9 GiB) copied, 195 s, 10.2 MB/s
2013265920 bytes (2.0 GB, 1.9 GiB) copied, 196 s, 10.3 MB/s
2030043136 bytes (2.0 GB, 1.9 GiB) copied, 197 s, 10.3 MB/s
2055208960 bytes (2.1 GB, 1.9 GiB) copied, 198 s, 10.4 MB/s
2063597568 bytes (2.1 GB, 1.9 GiB) copied, 199 s, 10.4 MB/s
2080374784 bytes (2.1 GB, 1.9 GiB) copied, 200 s, 10.4 MB/s
2097152000 bytes (2.1 GB, 2.0 GiB) copied, 201 s, 10.4 MB/s
2113929216 bytes (2.1 GB, 2.0 GiB) copied, 202 s, 10.5 MB/s
2130706432 bytes (2.1 GB, 2.0 GiB) copied, 203 s, 10.5 MB/s
2147483648 bytes (2.1 GB, 2.0 GiB) copied, 204 s, 10.5 MB/s
2164260864 bytes (2.2 GB, 2.0 GiB) copied, 205 s, 10.6 MB/s
2181038080 bytes (2.2 GB, 2.0 GiB) copied, 206 s, 10.6 MB/s
2197815296 bytes (2.2 GB, 2.0 GiB) copied, 207 s, 10.6 MB/s
2214592512 bytes (2.2 GB, 2.1 GiB) copied, 208 s, 10.6 MB/s
2239758336 bytes (2.2 GB, 2.1 GiB) copied, 209 s, 10.7 MB/s
2248146944 bytes (2.2 GB, 2.1 GiB) copied, 210 s, 10.7 MB/s
2264924160 bytes (2.3 GB, 2.1 GiB) copied, 211 s, 10.7 MB/s
2281701376 bytes (2.3 GB, 2.1 GiB) copied, 212 s, 10.7 MB/s
2298478592 bytes (2.3 GB, 2.1 GiB) copied, 213 s, 10.8 MB/s
2315255808 bytes (2.3 GB, 2.2 GiB) copied, 214 s, 10.8 MB/s
2323644416 bytes (2.3 GB, 2.2 GiB) copied, 215 s, 10.8 MB/s
2340421632 bytes (2.3 GB, 2.2 GiB) copied, 216 s, 10.8 MB/s
